Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
85,194,90,51,87,100,💸FeesBegone💸,[],Only Tor,11.9 bitcoin,111,0367f90e2b448b48f30d4b497c76baa7aeeee68b20083805c231824f3ed2789b69
233,134,172,186,277,101,Neutronpay.com,['Wallet' 'Payment'],Only Clearnet,11.4 bitcoin,43,02c73c8ac3f37bb28d9fc3819dc17baecdf24b137d476a2a9e22395d490d842bec
67,225,499,41,77,102,HODLmeTight,[],Only Tor,11.4 bitcoin,118,037f66e84e38fc2787d578599dfe1fcb7b71f9de4fb1e453c5ab85c05f5ce8c2e3
160,122,122,145,137,103,BitcoinVoucherBot-X,[],Only Tor,11.3 bitcoin,77,021a7a31f03a9b49807eb18ef03046e264871a1d03cd4cb80d37265499d1b726b9
62,61,315,179,50,104,Blocktank,['LSP'],Only Clearnet,11.3 bitcoin,157,0296b2db342fcf87ea94d981757fdf4d3e545bd5cef4919f58b5d38dfdd73bf5c9
1223,3278,3406,2898,1143,105,getalby.com,['Payment'],Only Clearnet,11.0 bitcoin,12,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3
174,394,519,246,143,106,bipa,[],Only Clearnet,11.0 bitcoin,74,02fb79c3a9121d85b126687bd111eaebf21aaaaa5cbf232e2b6c3bdf8803f40182
77,185,39,32,85,107,Shockwave Rider,[],Only Tor,10.9 bitcoin,113,03e9c99fddf5aaa60e22c166622206947b1fb14ae2926f550f837af6aa83556bb8
73,75,207,64,91,108,Babylon-4a,[],Only Clearnet,10.5 bitcoin,107,0340cfadaa3324e0dd176a9969be050114278f93260e1b6333bd2a2a2ea03c64a3
122,437,1571,198,128,109,Boltz|CLN,['Exchange'],Only Tor,10.5 bitcoin,81,02d96eadea3d780104449aca5c93461ce67c1564e2e1d73225fa67dd3b997a6018
100,127,1903,589,79,110,deezy.io ⚡✨,['LSP'],Only Tor,10.5 bitcoin,116,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf
112,893,627,62,117,111,🚀RocketNode🚀,[],Only Tor,10.4 bitcoin,86,025022f660d278b8d90415bdde1b385841b6caf179dc69569e4b55fd5aec70555f
734,1457,592,714,455,112,lndwr2.zaphq.io,[],Only Clearnet,10.1 bitcoin,29,02535215135eb832df0f9858ff775bd4ae0b8911c59e2828ff7d03b535b333e149
3209,4203,2673,1792,2006,113,kappa,,Only Tor,10.0 bitcoin,6,03669a2a3599daec2732036f8d9b3597185df599e54380a0f5d593008ae5634d7f
4788,4592,3929,3572,3296,114,031e0516b32db0115585,[],Only Clearnet,10.0 bitcoin,3,031e0516b32db0115585c20d22591dbf950cec27145fa43601350ec3c99042945b
4123,4203,3204,2635,2006,115,southxchange.com,[],Only Tor,10.0 bitcoin,6,03ebebea3b55b6acf81bca3a6ef3983bf7322825f4c7a98f8c981777d30d9494ba
49,20,59,75,64,116,LN-Fukaya Japan,[],Only Clearnet,9.9 bitcoin,133,020c92d71dfe47d49d322eed910064787973dff96c05a39d75a75d7e8f33aead4c
119,399,435,66,120,117,Rust-eze (now BoltTrustiC),[],Only Tor,9.9 bitcoin,84,03e81689bfd18d0accb28d720ed222209b1a5f2c6825308772beac75b1fe35d491
138,395,81,82,148,118,OLYMPUS by ZEUS,['LSP'],Only Tor,9.8 bitcoin,72,031b301307574bbe9b9ac7b79cbe1700e31e544513eae0b5d7497483083f99e581
11,8,35,79,13,119,CoinGate,['Payment'],Only Clearnet,9.8 bitcoin,443,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3
625,1615,965,435,310,120,bitnob-lnd-2,['LSP' 'Exchange' 'Payment'],Only Tor,9.6 bitcoin,40,02e880b95c737bbe110c5ef4f5e70d0d4d04253503e42c4de2760d519f9cb9a81e
97,119,32,45,97,121,flashsats.xyz,[],Only Tor,9.6 bitcoin,99,038ba8f67ba8ff5c48764cdd3251c33598d55b203546d08a8f0ec9dcd9f27e3637
101,234,111,71,104,122,rockshouse,[],Only Tor,9.5 bitcoin,91,031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7
1144,1647,1217,700,1006,123,Electrum Trampoline,[],Only Clearnet,9.4 bitcoin,14,03ecef675be448b615e6176424070673ef8284e0fd19d8be062a6cb5b130a0a0d1
78,211,335,57,87,124,i'llTryAnythingOnce,[],Only Tor,9.4 bitcoin,111,020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217
319,1297,911,243,330,125,devzorLN🐸,[],Only Clearnet,9.3 bitcoin,38,037e27d212432eaf499e4fb648d996944f3454c094dab36336bac573f82211a335
92,131,250,123,99,126,BitcoinJungleCR,[],Only Tor,9.2 bitcoin,98,03797da684da0b6de8a813f9d7ebb0412c5d7504619b3fa5255861b991a7f86960
2239,3166,991,1166,2006,127,Bitget Wallet,[],Only Tor,9.0 bitcoin,6,029cb5d877fb65761c9edc2810037b532631d22cd0e2b696051cf0d07d6ee218c0
438,1903,1070,273,433,128,Bitcoinite,[],Only Tor,9.0 bitcoin,30,039311d5a11e1df479bfc695b09127f7920e66dacfb19f0ef20a28a2a7959f0080
168,190,770,232,134,129,Satbase.org,[],Only Tor,8.9 bitcoin,79,0390cc12f782259427bdc45a283705f4c20ccbdff064ed43f6b74fefcafe9eb1f7
288,488,66,156,235,130,speed-wallet-A1,[],Only Clearnet,8.9 bitcoin,50,031df8ea711416b52d33c2f4a9b2a41d82f1da3c7672ffef2c24b0751cbdb75404
1962,3375,2673,2963,226,131,,[],Only Tor,8.9 bitcoin,52,02e1221434a21b8ce5818e92c6ec76301824dc87ed94b4628242e4b1f4a6ff445f
41,63,651,65,38,132,CoinPayments,[],Only Clearnet,8.8 bitcoin,189,03afa7a8196dbca763ee6f9a34b634a7adc03f154e5d6979fe654db5606b5fb2b1
119,183,126,90,117,133,RecklessApotheosis,[],Only Tor,8.8 bitcoin,86,03c72f89b660de43fc5c77ef879cbf7846601af88befb80e436242909b14fd0495
71,204,747,100,83,134,WCC-BOUNCER,[],Only Tor,8.8 bitcoin,114,02f4c77dcf12255ccf705c18b8d6b95e4f884910bf61e8aa21242607193a79da1b
201,1559,1105,144,210,135,Lightning⚡Connect,[],Only Tor,8.7 bitcoin,55,035542f0f213a5b6e985dff0e0fd973da01bd77325d44242fc325d0ea8eea3d312
89,115,168,134,67,136,ln-1.anycoin.cz,[],Only Tor,8.6 bitcoin,130,02ec20f34bb94460f3d63780dfc24a4d4a1ddabc3bd86c09e1830c5b5db08953e5
246,382,1446,223,251,137,betheball,[],Only Tor,8.4 bitcoin,47,021f98b9898720f8633c93faf0aa54ab399d277464e502d1111b233c2cf4064828
625,978,290,326,487,138,Speed2,[],Only Clearnet,8.2 bitcoin,27,0282ccffe2f7fd63b0d68528dab9cd6cff8f64733d2d730c3eb8fa81e011da930e
1144,2800,417,486,1143,139,Tachyon,[],Only Tor,8.1 bitcoin,12,02b21730bc36061609cc1fe1bd7f5d3068e0a5e511aaf210a82c046b58020c4aa8
734,2203,1777,642,319,140,bitnob-lnd-3,['LSP' 'Exchange' 'Payment'],Only Tor,8.1 bitcoin,39,03fbd735260269ace46d9a2e958d6a92cfe4495057018d11a637608a10ebf222e6
57,184,818,107,60,141,NikolaTesla,[],Only Tor,8.1 bitcoin,139,035cf526f4c01ed693bacd7434461b9dc53d65b910fb3006110d8b42a574858fb2
1962,2077,716,1235,1606,142,wallet-of-UXUY,[],Only Tor,8.0 bitcoin,8,03c96bdfcb9d4c107385c96f1b60a3910f4f28e679fb119d8ee5e243217f717bd3
87,475,620,59,95,143,Denaro Libre 🌞,[],Only Tor,8.0 bitcoin,102,031633471d005f37252ede8114c6f4203e0a668270532f0f11a1e4072eb2eef272
690,519,1397,540,577,144,NoonesProdMainnetNode,[],Only Tor,8.0 bitcoin,23,03284287b86a1378fdfa5ab34d7a7528f10bbdfab4c301d34087ca8996aa2571de
1962,3375,2673,2963,251,145,,[],Only Tor,8.0 bitcoin,47,031fab3f6a8ae8588668fbe4bf4cae14c3aaa4134330b1798b81e60aaf9662ff20
836,1698,993,522,376,146,Bitnob,['LSP' 'Exchange' 'Payment'],Only Tor,7.9 bitcoin,34,020d06a56bcc6428b48b02c8e514b73c4bddceba844570abda2bcc46bc474425ab
734,1222,948,445,667,147,ElenPAY⚡,[],Clearnet and Tor,7.9 bitcoin,20,02c5544a361bfe1f025f29e83d092e4c83feaf5f750af59a0b1ff0591ebc0beedc
1754,3567,624,723,1335,148,03a0ec9f2148b8bf5386,[],Only Tor,7.8 bitcoin,10,03a0ec9f2148b8bf5386df07418259b260695307ffc319c1300bb12ad35308636e
157,455,1652,211,155,149,ln.coinos.io,[],Only Clearnet,7.7 bitcoin,70,021294fff596e497ad2902cd5f19673e9020953d90625d68c22e91b51a45c032d3
71,62,97,115,64,150,Einundzwanzig,[],Only Tor,7.7 bitcoin,133,03a09f56bba3d2c200cc55eda2f1f069564a97c1fb74345e1560e2868a8ab3d7d0
153,287,882,215,166,151,SCP-096,[],Only Tor,7.7 bitcoin,67,0289b70b52a04e951446674bedb571336295a2890ca0079639ebc067076277d571
