Pleb_Rank,Betweenness_Rank,Eigenvector_Rank,PageRank,Weighted_Degree_Rank,Channels_Rank,Capacity_Rank,alias,Node_Type,Total_Capacity,Num_Channels,Public_Key
93,24,607,23,77,84,88,lnnode.lnfi.network,,16.9 bitcoin,136.0,03bdaa035f786c6e80aa728eb9a21caf2126550b34c09021e57b2280ae9190457c
94,314,60,123,99,111,208,TennisNbtc,,5.6 bitcoin,106.0,035adfeca8fc95de5e2e9dbf9be39ac577b510e7dad0ad9287117d01f282eb667a
95,533,36,97,72,82,106,HODLmeTight,,12.8 bitcoin,138.0,037f66e84e38fc2787d578599dfe1fcb7b71f9de4fb1e453c5ab85c05f5ce8c2e3
96,147,157,113,110,114,295,LQwD-Brazil,LSP,3.6 bitcoin,102.0,02c4ad243f18d8ed3a40e98725bc6a795b941d7e3d64be9f7dab38144f1eb09cb8
97,531,38,103,82,91,111,Shockwave Rider,,12.2 bitcoin,131.0,03e9c99fddf5aaa60e22c166622206947b1fb14ae2926f550f837af6aa83556bb8
98,41,248,57,93,90,439,PeerName.com,,2.0 bitcoin,132.0,02e7c42ae2952d7a71398e23535b53ffc60deb269acbc7c10307e6b797b91b1e79
99,133,144,156,143,149,246,XeggeX,,4.5 bitcoin,81.0,0367ce45e4315b7db20887e0e281ab702dc73129d6556457ba70eb40bdabbf1ef4
100,425,116,121,101,109,118,BitcoinJungleCR,,11.5 bitcoin,107.0,03797da684da0b6de8a813f9d7ebb0412c5d7504619b3fa5255861b991a7f86960
101,481,105,163,140,93,13,River Financial 1,"Wallet, Exchange",100.9 bitcoin,128.0,03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a
102,13,175,63,79,59,622,tokyo,,1.2 bitcoin,175.0,02907887f9bfcc9e83512bfdf40ddfdabcb8569786f11ac3e9c52c42d77da3eb6b
103,416,139,110,96,102,170,LQwD-France,LSP,7.8 bitcoin,117.0,032ae3168ba52314da581d6b6693c562b437a9cf805933d4d69e7801547e07302e
104,199,133,158,166,173,223,Mintter,,5.2 bitcoin,73.0,0334bbf89f5fc82c8aebbddc9f2b78f9528cd2fd916fbc091a8ce35aed57c1110d
