Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Node_Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
265,556,259,302,232,96,Tatooine,,Only Tor,2.9 bitcoin,10,03011e480a671ac71dbc3fc3e8fe0db32bb9a10cc4d824663e09557d446ef80679
45,75,152,65,40,97,lazydrone,,Only Tor,2.9 bitcoin,41,03f778538df6dfde80eca8a943847635a5be670df85406f1039868b8b1fd3b205e
43,43,172,231,29,98,NikolaTesla,,Only Tor,2.8 bitcoin,52,035cf526f4c01ed693bacd7434461b9dc53d65b910fb3006110d8b42a574858fb2
30,39,236,214,16,99,⚡️ STACKER.NEWS ⚡️,,Only Tor,2.7 bitcoin,78,03cc1d0932bb99b0697f5b5e5961b83ab7fd66f1efc4c9f5c7bad66c1bcbe78f02
126,315,297,250,116,100,pedroLND,,Only Tor,2.7 bitcoin,19,034a879c36f418cb5b44b6903b3c6c1cfb5f4beb1e79b9b479c040b7df9cbc56be
55,44,63,215,262,101,fixedfloat.com,Exchange,Only Clearnet,2.7 bitcoin,9,037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590
734,726,570,658,399,102,flashassets-node,,Only Tor,2.7 bitcoin,6,0210eb943cb0d22a86e8742d65d1f2f0959c128961c8aa30d9e5ae6f14a809979e
55,110,225,120,46,103,TennisNbtc,,Only Tor,2.7 bitcoin,38,035adfeca8fc95de5e2e9dbf9be39ac577b510e7dad0ad9287117d01f282eb667a
166,146,551,602,145,104,coincharge,,Only Tor,2.6 bitcoin,15,0318ac9faa9629e7da08819bc8fe0dd2ae3044d69b1b2283a63479acffeb968483
49,47,226,236,124,105,LNBϟG [Edge-4],LSP,Only Tor,2.6 bitcoin,18,039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1
297,366,252,296,300,106,BitcoinVN 22,Exchange,Only Tor,2.6 bitcoin,8,026af41af0e3861ba170cc0eef8f45a1015125dac57c28df53752dcaeea793b28f
66,170,159,112,55,107,⚡yourdevice.ch⚡,,Only Tor,2.5 bitcoin,32,028268dcb4c68311613dd3bbb0164f7685b6710022bfa6dcce639acd44695049a2
235,650,324,253,232,108,The Wall,,Only Clearnet,2.5 bitcoin,10,0203e5b16ebe87b089f22e18752f1f7a66a1bdf77879df8d1c9e8d912dbfb9beb4
297,684,437,304,300,109,ln.coinos.io,,Only Clearnet,2.5 bitcoin,8,021294fff596e497ad2902cd5f19673e9020953d90625d68c22e91b51a45c032d3
182,154,44,40,124,110,Chessa ✨,,Only Tor,2.4 bitcoin,18,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3
466,856,525,364,473,111,Net Neutrality,,Only Tor,2.3 bitcoin,5,02cd546a60230b5d5c603bf79ff344afaf071cd42438bdd7846a5de4595c1ef304
118,214,304,241,104,112,035eb7d2253d934b51dd,,Only Tor,2.3 bitcoin,21,035eb7d2253d934b51dd1cc145b6f36a9c2d953c4379f5fff9c39bb437ece525ae
45,97,277,146,34,113,Bitrefill,"LSP, Payment",Only Clearnet,2.3 bitcoin,45,03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac
212,253,303,255,262,114,Blixt Wallet 🟡,LSP,Only Tor,2.3 bitcoin,9,0230a5bca558e6741460c13dd34e636da28e52afd91cf93db87ed1b0392a7466eb
337,344,87,93,343,115,Blocktank1,,Only Clearnet,2.2 bitcoin,7,039b8b4dd1d88c2c5db374290cda397a8f5d79f312d6ea5d5bfdfc7c6ff363eae3
182,290,249,229,176,116,Maski.Guatemala protonmail.com,,Only Tor,2.2 bitcoin,13,0381499873090f47c7f857b90a91a5de4708054b5966904e0623023c9a5ad0e8a1
133,116,109,211,129,117,Calculus,,Only Tor,2.2 bitcoin,17,0205d9b3537e4c212c59a52e1a7fe7080b521f6f88b3fb34dd57e5a54a80a8dcdb
61,153,240,156,52,118,⚡️Thank-God-for-Bitcoin,,Only Tor,2.1 bitcoin,33,03a7dfffc936f8cee05a113b1f737825fbe6147ce13254ca7e742845e00bda9b9e
297,496,536,442,300,119,The Rising Ra ☀️,,Only Tor,2.1 bitcoin,8,02e46fce29587e4a8d39da2cf21f032536c1ced45e82e4ba04f127ee7337783b38
734,723,822,878,774,120,28fb2a43,,Only Tor,2.0 bitcoin,3,02caadfe95436f9fad8059a94993284d5324363da79d2c42a01434d8326eccd813
1008,995,738,812,587,121,breez.diem.lsp,,Clearnet and Tor,2.0 bitcoin,4,0264a62a4307d701c04a46994ce5f5323b1ca28c80c66b73c631dbcb0990d6e835
569,839,532,509,587,122,Escher,,Only Clearnet,1.9 bitcoin,4,02b515c74f334dee09821bee299fcbd9668182730c5719b25a8f262b28893198b0
59,45,20,20,50,123,eklipse,,Only Tor,1.9 bitcoin,35,021e2ede208b8daddfdf3c17b80e81bbca63505eccb32b4437a0fa8aac8c0f0944
235,150,250,327,232,124,scarce-city,,Only Tor,1.9 bitcoin,10,028f4a60dd133875e8776d5ac36e87097cf59e6e3a1d74fcd14c900270dda57c06
466,720,347,410,473,125,NPAY,,Only Tor,1.9 bitcoin,5,0230faf7c3b2d0c4551568ee657348b77c48d8d365a31f240a832431bb19307f98
