Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Node_Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
107,288,48,48,120,68,borsche(.Y.)cln0,Routing,Only Tor,21.2 bitcoin,99,02fe6a27ddcb2dd9fa8479fe1d52549b5932079a493b51f1409fa2c5878f1bc07c
1999,4923,812,618,958,69,033b74d74d6b7d96e89e,,Only Tor,21.1 bitcoin,17,033b74d74d6b7d96e89ebc9e135c4ffb0526fbe8293eb02c05f0c28146d078605d
1104,3057,1932,1540,280,70,lndeu1.zaphq.io,,Only Clearnet,20.7 bitcoin,49,024c2804815582a504c466a90e11f30ff800e108fd691274faf6f026a12d0ab976
115,139,84,92,132,71,SilentBob,,Only Clearnet,20.5 bitcoin,91,02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844
15,13,34,53,13,72,tippin.me,,Only Clearnet,20.2 bitcoin,584,03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda
58,92,80,44,63,73,The Captain [Coincept.com],"LSP, Routing",Only Tor,19.9 bitcoin,171,0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df
163,512,130,113,162,74,CONFIRMO.net,,Only Clearnet,19.4 bitcoin,77,02ff30e83896d453cfc89ff4dd06d23d793b7246f154c210324adc1d42c849ce74
98,200,25,42,104,75,Orange Sunrise,,Only Tor,19.3 bitcoin,118,037943defcf3068fc5b8a2b821cdd2c4c1b1faa39d6a971b3fd984b9dd291a4817
76,371,405,35,69,76,ThunderHorse2,,Only Clearnet,19.3 bitcoin,165,02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a
213,389,138,148,186,77,connect-to-this-node-please,,Only Tor,19.1 bitcoin,70,026c2595bddf44ca1eadb65ad26942b325616690d104442f8560a7faaf67c4c323
647,2347,241,265,464,78,PaidlyInteractive⚡,,Clearnet and Tor,19.0 bitcoin,34,02ba0c09d94698745ebbda922c6d19d54437a89aab333f1539d8cfafb819173feb
1104,3820,4221,2336,316,79,lndeu0.zaphq.io,,Only Clearnet,18.8 bitcoin,46,0335e4265f783f37378e969c6a123557cf5d22cc97ec42ea3abff5dfaa64afea83
25,32,157,84,47,80,BCash_Is_Trash,,Clearnet and Tor,18.7 bitcoin,221,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f
